date,close,volume
3/21/2007,7.38,14070500
3/19/2007,7.19,7315600
3/16/2007,7.01,7359900
3/15/2007,7.21,5665100
3/14/2007,7.17,7060900
3/13/2007,7.43,9339600
3/12/2007,7.13,5128200
3/9/2007,7.07,9238300
3/8/2007,7.25,12332100
3/7/2007,6.91,11295400
3/6/2007,6.8,11578300
3/5/2007,6.39,12607300
3/2/2007,6.85,4518000
3/1/2007,6.6,5973600
2/28/2007,7.07,8817300
2/27/2007,7.07,6898100
2/26/2007,7.86,4302200
2/16/2007,7.45,4700500
2/15/2007,7.32,5356100
2/14/2007,7.13,6131000
2/13/2007,6.89,4382100
2/12/2007,6.47,3475800
2/9/2007,6.32,3411200
2/8/2007,6.17,4149900
2/7/2007,6.15,5025700
2/6/2007,5.92,2797100
2/5/2007,5.89,3087000
2/2/2007,6,4513400
2/1/2007,6.01,5167400
1/31/2007,6.1,8500800
1/30/2007,6.3,8718800
1/29/2007,6.01,5262300
1/26/2007,5.81,6434900
1/25/2007,5.76,7167800
1/24/2007,6.01,6338400
1/23/2007,5.84,10417300
1/22/2007,6.05,8122700
1/19/2007,5.99,10385200
1/18/2007,5.69,6753600
1/17/2007,5.3,7335600
1/16/2007,5.16,7342100
1/15/2007,5.24,12169400
1/12/2007,4.94,9192600
1/11/2007,4.81,6611800
1/10/2007,4.75,7734300
1/9/2007,4.66,9601700
1/8/2007,4.5,7349700
1/5/2007,4.32,8402000
12/29/2006,4.24,6658300
12/28/2006,4.16,5052200
12/27/2006,4.17,7549500
12/26/2006,4.1,4961100
12/25/2006,4.09,6867000
12/22/2006,4.06,6914100
12/21/2006,4.21,9517000
12/20/2006,4.36,17255700
10/19/2006,4.52,4713300
10/18/2006,4.66,2399700
10/17/2006,4.7,4638300
9/22/2006,5.1,4626300
9/21/2006,5.24,8661300
9/20/2006,4.86,2211200
9/19/2006,4.8,2548900
9/18/2006,4.77,4097200
9/15/2006,4.61,2378500
9/14/2006,4.54,3098100
9/13/2006,4.34,600100
9/12/2006,4.36,1058700
9/11/2006,4.35,787000
9/8/2006,4.32,461000
9/7/2006,4.31,688300
9/6/2006,4.4,1059100
9/5/2006,4.23,929500
9/4/2006,4.23,523700
9/1/2006,4.22,556200
8/31/2006,4.38,663100
8/30/2006,4.37,528000
8/29/2006,4.36,845200
8/28/2006,4.44,806300
8/25/2006,4.38,1277200
8/24/2006,4.44,1069500
8/23/2006,4.33,1327600
8/22/2006,4.23,397100
8/21/2006,4.22,674900
8/18/2006,4.22,733700
8/17/2006,4.2,724800
8/16/2006,4.3,426100
8/15/2006,4.28,287300
8/14/2006,4.16,470500
8/11/2006,4.27,760400
8/10/2006,4.15,676000
8/9/2006,4.07,649700
8/8/2006,4.19,903900
8/7/2006,4.08,481800
8/4/2006,4.2,680400
8/3/2006,4.47,675800
8/2/2006,4.39,681100
8/1/2006,4.38,901900
7/31/2006,4.46,1088400
7/28/2006,4.68,2157300
7/27/2006,4.79,2233800
7/26/2006,4.86,2218800
7/25/2006,4.81,3306800
7/24/2006,4.84,3509800
7/21/2006,4.55,1160500
7/20/2006,4.62,1708800
7/19/2006,4.51,2673600
7/18/2006,4.95,4663500
7/17/2006,4.5,668400
7/14/2006,4.5,1159200
7/13/2006,4.4,2493200
7/12/2006,4.89,3289700
7/11/2006,5,1985700
7/10/2006,4.71,992600
7/7/2006,4.7,1142700
7/6/2006,4.7,1518500
7/5/2006,4.51,1076700
7/4/2006,4.68,2193000
7/3/2006,4.82,1682900
6/30/2006,4.85,2085500
6/29/2006,5,3247500
6/28/2006,4.85,2242700
6/27/2006,4.64,749100
6/26/2006,4.66,1802700
6/23/2006,4.5,1196400
6/22/2006,4.45,1940300
6/21/2006,4.38,1105000
6/20/2006,4.44,1573100
6/19/2006,4.43,1625700
6/16/2006,4.38,1150000
6/15/2006,4.21,668600
6/14/2006,4.24,802900
6/13/2006,4.34,1788300
6/12/2006,4.18,1071800
6/9/2006,4.18,1982800
6/8/2006,4.38,2174700
6/7/2006,4.55,2830200
6/6/2006,5.05,2797500
6/5/2006,5.11,2872600
6/2/2006,5.18,3757000
6/1/2006,5.21,3714000
5/31/2006,5.06,5968400
5/30/2006,4.96,3822300
5/29/2006,4.77,4639600
5/26/2006,4.81,5192200
5/25/2006,4.63,5252600
5/24/2006,4.27,2723900
5/23/2006,4.36,4342200
5/22/2006,4.73,0
5/19/2006,4.73,4979300
5/18/2006,4.49,7771600
5/17/2006,4.77,8840300
5/16/2006,5.02,10649400
5/15/2006,4.56,10838000
5/12/2006,4.15,7677200
5/11/2006,3.77,13229300
5/10/2006,3.77,2459900
5/9/2006,3.43,5047900
5/8/2006,3.12,3997800
5/5/2006,3.02,0
5/4/2006,3.02,0
5/3/2006,3.02,0
5/2/2006,3.02,0
5/1/2006,3.02,0
4/28/2006,3.02,3007900
4/27/2006,2.93,4678700
4/26/2006,2.86,2906000
4/25/2006,2.6,2148600
4/24/2006,2.68,1800200
4/21/2006,2.68,2325400
4/20/2006,2.74,3134200
4/19/2006,2.92,2398200
4/18/2006,2.83,1386300
4/17/2006,2.88,1223000
4/14/2006,2.88,1265900
4/13/2006,2.8,1804000
4/12/2006,2.94,1175400
4/11/2006,2.97,2937200
4/10/2006,2.94,3437400
4/7/2006,2.84,1808300
4/6/2006,2.83,4095000
4/5/2006,2.89,5094100
4/4/2006,2.72,909700
4/3/2006,2.7,912600
3/31/2006,2.68,860600
3/30/2006,2.72,1035500
3/29/2006,2.78,1645100
3/28/2006,2.76,907800
3/27/2006,2.72,871100
3/24/2006,2.7,688200
3/23/2006,2.76,1213900
3/22/2006,2.76,2156800
3/21/2006,2.69,990800
3/20/2006,2.67,875600
3/17/2006,2.64,1720400
3/16/2006,2.69,424800
3/15/2006,2.7,382500
